+ ./dav1d summer_nature_1080p.ivf
dav1d 0.5.0 - by VideoLAN
Decoded 1/3604 frames (0.0%) - 38.72/25.00 fps (1.55x)
Decoded 2/3604 frames (0.1%) - 46.67/25.00 fps (1.87x)
Decoded 3/3604 frames (0.1%) - 69.91/25.00 fps (2.80x)
Decoded 4/3604 frames (0.1%) - 89.45/25.00 fps (3.58x)
Decoded 5/3604 frames (0.1%) - 111.62/25.00 fps (4.46x)
Decoded 6/3604 frames (0.2%) - 94.74/25.00 fps (3.79x)
Decoded 7/3604 frames (0.2%) - 109.10/25.00 fps (4.36x)
Decoded 8/3604 frames (0.2%) - 118.53/25.00 fps (4.74x)
Decoded 9/3604 frames (0.2%) - 133.18/25.00 fps (5.33x)
Decoded 10/3604 frames (0.3%) - 135.67/25.00 fps (5.43x)
Decoded 11/3604 frames (0.3%) - 149.03/25.00 fps (5.96x)
Decoded 12/3604 frames (0.3%) - 157.57/25.00 fps (6.30x)
Decoded 13/3604 frames (0.4%) - 169.35/25.00 fps (6.77x)
Decoded 14/3604 frames (0.4%) - 145.85/25.00 fps (5.83x)
Decoded 15/3604 frames (0.4%) - 156.15/25.00 fps (6.25x)
Decoded 16/3604 frames (0.4%) - 164.94/25.00 fps (6.60x)
Decoded 17/3604 frames (0.5%) - 175.19/25.00 fps (7.01x)
Decoded 18/3604 frames (0.5%) - 161.47/25.00 fps (6.46x)
Decoded 19/3604 frames (0.5%) - 169.95/25.00 fps (6.80x)
Decoded 20/3604 frames (0.6%) - 175.11/25.00 fps (7.00x)
Decoded 21/3604 frames (0.6%) - 183.70/25.00 fps (7.35x)
Decoded 22/3604 frames (0.6%) - 180.39/25.00 fps (7.22x)
Decoded 23/3604 frames (0.6%) - 188.44/25.00 fps (7.54x)
Decoded 24/3604 frames (0.7%) - 192.63/25.00 fps (7.71x)
Decoded 25/3604 frames (0.7%) - 198.47/25.00 fps (7.94x)
Decoded 26/3604 frames (0.7%) - 182.52/25.00 fps (7.30x)
Decoded 27/3604 frames (0.7%) - 189.44/25.00 fps (7.58x)
Decoded 28/3604 frames (0.8%) - 193.57/25.00 fps (7.74x)
Decoded 29/3604 frames (0.8%) - 200.36/25.00 fps (8.01x)
